x,y,prob
0,0,0.667405
0,0.00502513,0.667405
0,0.0100503,0.667405
0,0.0150754,0.667405
0,0.0201005,0.667405
0,0.0251256,0.667405
0,0.0301508,0.667405
0,0.0351759,0.667405
0,0.040201,0.667405
0,0.0452261,0.667405
0,0.0502513,0.667405
0,0.0552764,0.667405
0,0.0603015,0.667405
0,0.0653266,0.667405
0,0.0703518,0.667405
0,0.0753769,0.667405
0,0.080402,0.667405
0,0.0854271,0.667405
0,0.0904523,0.667405
0,0.0954774,0.667405
0,0.100503,0.667405
0,0.105528,0.667405
0,0.110553,0.667405
0,0.115578,0.667405
0,0.120603,0.667405
0,0.125628,0.667405
0,0.130653,0.667405
0,0.135678,0.667405
0,0.140704,0.667405
0,0.145729,0.667405
0,0.150754,0.667405
0,0.155779,0.667405
0,0.160804,0.667405
0,0.165829,0.667405
0,0.170854,0.667405
0,0.175879,0.667405
0,0.180905,0.667405
0,0.18593,0.667405
0,0.190955,0.667405
0,0.19598,0.667405
0,0.201005,0.667405
0,0.20603,0.667405
0,0.211055,0.667405
0,0.21608,0.667405
0,0.221106,0.667405
0,0.226131,0.667405
0,0.231156,0.667405
0,0.236181,0.667405
0,0.241206,0.667405
0,0.246231,0.667405
0,0.251256,0.667405
0,0.256281,0.667405
0,0.261307,0.667405
0,0.266332,0.667405
0,0.271357,0.667405
0,0.276382,0.667405
0,0.281407,0.667405
0,0.286432,0.667405
0,0.291457,0.667405
0,0.296482,0.667405
0,0.301508,0.667405
0,0.306533,0.667405
0,0.311558,0.667405
0,0.316583,0.667405
0,0.321608,0.667405
0,0.326633,0.667405
0,0.331658,0.667405
0,0.336683,0.667405
0,0.341709,0.667405
0,0.346734,0.667405
0,0.351759,0.667405
0,0.356784,0.667405
0,0.361809,0.667405
0,0.366834,0.667405
0,0.371859,0.667405
0,0.376884,0.667405
0,0.38191,0.667405
0,0.386935,0.667405
0,0.39196,0.667405
0,0.396985,0.667405
0,0.40201,0.667405
0,0.407035,0.667405
0,0.41206,0.667405
0,0.417085,0.667405
0,0.422111,0.667405
0,0.427136,0.667405
0,0.432161,0.667405
0,0.437186,0.667405
0,0.442211,0.667405
0,0.447236,0.667405
0,0.452261,0.667405
0,0.457286,0.667405
0,0.462312,0.667405
0,0.467337,0.667405
0,0.472362,0.667405
0,0.477387,0.667405
0,0.482412,0.667405
0,0.487437,0.667405
0,0.492462,0.667405
0,0.497487,0.667405
0,0.502513,0.667405
0,0.507538,0.667405
0,0.512563,0.667405
0,0.517588,0.667405
0,0.522613,0.667405
0,0.527638,0.667405
0,0.532663,0.667405
0,0.537688,0.667405
0,0.542714,0.667405
0,0.547739,0.667405
0,0.552764,0.667405
0,0.557789,0.667405
0,0.562814,0.667405
0,0.567839,0.667405
0,0.572864,0.667405
0,0.577889,0.667405
0,0.582915,0.667405
0,0.58794,0.667405
0,0.592965,0.667405
0,0.59799,0.667405
0,0.603015,0.667405
0,0.60804,0.667405
0,0.613065,0.667405
0,0.61809,0.667405
0,0.623116,0.667405
0,0.628141,0.667405
0,0.633166,0.667405
0,0.638191,0.667405
0,0.643216,0.667405
0,0.648241,0.667405
0,0.653266,0.667405
0,0.658291,0.667405
0,0.663317,0.667405
0,0.668342,0.667405
0,0.673367,0.667405
0,0.678392,0.667405
0,0.683417,0.667405
0,0.688442,0.667405
0,0.693467,0.667405
0,0.698492,0.667405
0,0.703518,0.667405
0,0.708543,0.667405
0,0.713568,0.667405
0,0.718593,0.667405
0,0.723618,0.667405
0,0.728643,0.667405
0,0.733668,0.667405
0,0.738693,0.667405
0,0.743719,0.667405
0,0.748744,0.667405
0,0.753769,0.667405
0,0.758794,0.667405
0,0.763819,0.667405
0,0.768844,0.667405
0,0.773869,0.667405
0,0.778894,0.667405
0,0.78392,0.667405
0,0.788945,0.667405
0,0.79397,0.667405
0,0.798995,0.667405
0,0.80402,0.667405
0,0.809045,0.667405
0,0.81407,0.667405
0,0.819095,0.667405
0,0.824121,0.667405
0,0.829146,0.667405
0,0.834171,0.667405
0,0.839196,0.667405
0,0.844221,0.667405
0,0.849246,0.667405
0,0.854271,0.667405
0,0.859296,0.667405
0,0.864322,0.667405
0,0.869347,0.667405
0,0.874372,0.667405
0,0.879397,0.667405
0,0.884422,0.667405
0,0.889447,0.667405
0,0.894472,0.667405
0,0.899497,0.667405
0,0.904523,0.667405
0,0.909548,0.667405
0,0.914573,0.667405
0,0.919598,0.667405
0,0.924623,0.667405
0,0.929648,0.667405
0,0.934673,0.667405
0,0.939698,0.667405
0,0.944724,0.667405
0,0.949749,0.667405
0,0.954774,0.667405
0,0.959799,0.667405
0,0.964824,0.667405
0,0.969849,0.667405
0,0.974874,0.667405
0,0.979899,0.667405
0,0.984925,0.667405
0,0.98995,0.667405
0,0.994975,0.667405
0,1,0.667405
0.00502513,0,0.667405
0.00502513,0.00502513,0.667405
0.00502513,0.0100503,0.667405
0.00502513,0.0150754,0.667405
0.00502513,0.0201005,0.667405
0.00502513,0.0251256,0.667405
0.00502513,0.0301508,0.667405
0.00502513,0.0351759,0.667405
0.00502513,0.040201,0.667405
0.00502513,0.0452261,0.667405
0.00502513,0.0502513,0.667405
0.00502513,0.0552764,0.667405
0.00502513,0.0603015,0.667405
0.00502513,0.0653266,0.667405
0.00502513,0.0703518,0.667405
0.00502513,0.0753769,0.667405
0.00502513,0.080402,0.667405
0.00502513,0.0854271,0.667405
0.00502513,0.0904523,0.667405
0.00502513,0.0954774,0.667405
0.00502513,0.100503,0.667405
0.00502513,0.105528,0.667405
0.00502513,0.110553,0.667405
0.00502513,0.115578,0.667405
0.00502513,0.120603,0.667405
0.00502513,0.125628,0.667405
0.00502513,0.130653,0.667405
0.00502513,0.135678,0.667405
0.00502513,0.140704,0.667405
0.00502513,0.145729,0.667405
0.00502513,0.150754,0.667405
0.00502513,0.155779,0.667405
0.00502513,0.160804,0.667405
0.00502513,0.165829,0.667405
0.00502513,0.170854,0.667405
0.00502513,0.175879,0.667405
0.00502513,0.180905,0.667405
0.00502513,0.18593,0.667405
0.00502513,0.190955,0.667405
0.00502513,0.19598,0.667405
0.00502513,0.201005,0.667405
0.00502513,0.20603,0.667405
0.00502513,0.211055,0.667405
0.00502513,0.21608,0.667405
0.00502513,0.221106,0.667405
0.00502513,0.226131,0.667405
0.00502513,0.231156,0.667405
